,country,country_serial,metric,unit,sector,sub_sector,sub_sub_sector,source_link,source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,Algeria,1,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,96.4,97.0,97.4,97.8,98.1,98.4,98.6,98.8,99.0,99.1,99.2,99.3,99.4,99.4,99.5,99.6,99.6,99.7,99.7,99.7,99.7,99.7,99.7,,
1,Angola,2,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,40.9,41.35,41.5,42.1,41.8,42.7,43.1,43.1,43.7,44.0,44.6,44.8,45.7,45.95,46.6,47.3,47.8,48.3,48.6,49.0,49.7,49.8,50.0,,
2,Benin,3,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,0.6,0.8,1.1,1.5,1.9,2.3,2.8,3.3,3.8,4.2,4.4,4.8,4.9,5.0,5.1,5.3,5.2,5.2,5.3,5.4,5.7,5.8,6.0,,
3,Botswana,4,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,44.2,46.2,47.9,49.3,51.0,52.1,53.4,54.8,56.3,57.3,58.4,59.4,60.1,60.5,61.4,61.8,62.5,63.0,63.7,64.4,64.8,65.4,66.0,,
4,Burkina Faso,5,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,2.7,2.9,3.1,3.4,3.6,3.9,4.3,4.6,5.0,5.4,5.8,6.2,6.9,7.5,8.2,8.9,10.0,10.8,11.9,13.1,14.5,15.8,17.2,,
5,Burundi,6,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,,
6,Cameroon,7,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,9.8,10.8,11.7,12.8,13.8,14.8,15.7,16.6,17.4,18.4,19.0,19.7,20.3,21.0,21.9,22.8,23.6,24.3,25.3,26.4,27.4,28.6,29.4,,
7,Cape Verde,8,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,62.8,63.0,63.4,63.7,64.3,64.6,65.6,66.5,67.4,68.4,69.7,70.8,71.9,73.0,74.35,75.5,76.7,77.9,79.0,80.2,81.1,82.0,83.0,,
8,Central African Republic,9,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1.0,1.0,,
9,Chad,10,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,3.0,2.8,2.6,2.5,2.3,2.3,2.2,2.3,2.4,2.5,2.6,2.85,3.1,3.4,3.8,4.2,4.7,5.2,6.0,6.7,7.5,8.4,9.5,,
10,Comoros,11,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,0.5,0.6,0.8,1.0,1.2,1.5,1.8,2.1,2.5,2.9,3.3,3.8,4.3,4.7,5.3,5.8,6.3,6.7,7.4,7.8,8.3,9.0,9.6,,
11,Congo Democratic Republic,12,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,0.9,1.1,1.3,1.5,1.8,2.1,2.3,2.6,2.8,3.1,3.2,3.4,3.5,3.6,3.8,3.8,3.9,3.9,3.9,4.0,4.1,4.3,4.3,,
12,Congo Republic,13,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,8.3,8.8,9.4,10.0,10.6,11.3,12.25,13.1,14.2,15.5,16.9,18.5,20.3,21.9,24.0,26.0,27.7,30.0,31.8,33.9,35.9,37.7,39.65,,
13,Cote d'Ivoire,14,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,17.9,17.3,17.0,16.7,16.5,16.4,16.4,16.7,16.9,17.5,18.3,19.3,20.6,21.6,23.3,25.1,27.3,29.6,32.1,34.7,37.4,40.3,42.6,,
14,Djibouti,15,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,3.8,3.9,4.1,4.3,4.5,4.7,5.0,5.3,5.7,5.9,6.4,7.0,7.4,7.8,8.3,8.8,9.05,9.6,9.8,10.2,10.1,10.5,10.3,,
15,Egypt,16,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,82.2,86.0,89.4,92.0,94.2,95.8,97.0,97.8,98.6,98.9,99.2,99.5,99.7,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,,
16,Equatorial Guinea,17,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,19.0,19.7,19.9,20.1,20.3,20.9,21.2,21.6,22.1,22.6,22.9,23.0,23.5,23.4,23.6,23.7,23.65,23.3,23.3,23.1,22.8,22.0,21.9,,
17,Eritrea,18,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,3.6,3.9,4.3,4.8,5.4,5.8,6.3,6.9,7.4,7.6,8.2,8.4,8.9,9.0,9.5,9.6,9.8,9.8,10.1,10.2,10.4,10.4,10.5,,
18,Eswatini,19,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,24.9,25.7,27.2,28.6,29.6,31.2,32.6,34.1,35.8,37.5,39.1,41.3,42.5,43.7,45.2,45.8,46.7,47.2,47.7,48.1,48.6,48.8,48.9,,
19,Ethiopia,20,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,0.9,0.9,0.9,1.0,1.1,1.1,1.3,1.4,1.6,1.9,2.2,2.6,3.0,3.4,3.8,4.3,4.9,5.4,6.0,6.6,7.4,8.0,8.8,,
20,Gabon,21,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,64.4,65.95,67.6,69.4,71.0,72.9,74.4,76.0,77.4,79.0,80.7,82.0,83.2,84.2,85.3,86.3,87.2,88.0,88.8,89.3,90.0,90.4,90.9,,
21,Gambia,22,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,3.7,3.7,3.6,3.5,3.5,3.4,3.2,3.1,3.0,2.9,2.7,2.4,2.3,2.3,2.1,2.0,1.9,1.8,1.8,1.8,1.8,1.7,1.7,,
22,Ghana,23,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,6.3,6.8,7.5,8.2,8.9,9.8,10.7,11.8,12.75,13.8,15.3,16.6,17.6,19.1,20.2,21.6,22.9,24.2,25.9,26.9,28.3,29.7,31.0,,
23,Guinea,24,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,1.0,1.0,1.1,,
24,Guinea Bissau,25,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,1.4,1.3,1.3,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.0,1.0,0.9,,
25,Kenya,26,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,1.7,2.2,2.5,3.0,3.5,4.1,4.7,5.2,5.9,6.5,7.0,7.6,8.5,9.5,10.6,11.9,13.8,15.75,18.1,20.7,23.6,26.4,30.0,,
26,Lesotho,27,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,16.0,17.7,19.2,20.85,22.4,23.9,25.4,26.9,28.5,29.8,31.1,32.4,33.6,34.9,35.9,36.8,37.8,38.7,39.2,39.8,40.2,41.1,41.5,,
27,Liberia,28,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.8,,
28,Libya,29,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
29,Madagascar,30,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,1.3,1.2,1.2,1.2,1.1,1.1,1.1,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.3,1.35,1.45,1.5,,
30,Malawi,31,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,2.05,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.2,2.3,2.3,2.4,2.4,2.4,2.3,2.3,2.2,2.0,1.9,1.8,1.7,1.5,1.4,,
31,Mali,32,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,1.0,1.0,1.0,1.1,1.1,1.2,1.2,,
32,Mauritania,33,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,29.6,31.2,33.0,34.5,36.0,37.1,38.4,39.2,40.1,40.9,41.5,41.8,42.6,42.9,43.5,44.2,44.6,45.2,46.0,46.5,47.3,48.2,48.9,,
33,Mauritius,34,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,92.8,93.6,94.4,95.0,95.7,96.0,96.4,96.8,97.1,97.4,97.6,97.8,98.1,98.3,98.4,98.5,98.7,98.8,98.8,98.9,98.9,99.0,99.0,,
34,Morocco,35,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,89.8,90.9,91.7,92.5,93.2,93.9,94.6,95.1,95.7,96.2,96.6,96.9,97.2,97.7,97.7,97.9,97.9,98.1,98.1,98.1,98.1,98.0,97.9,,
35,Mozambique,36,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,2.1,2.1,2.2,2.3,2.4,2.4,2.6,2.6,2.8,2.9,3.1,3.3,3.4,3.5,3.7,3.9,4.2,4.5,4.6,4.9,5.2,5.6,6.0,,
36,Namibia,37,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,33.8,34.4,35.1,35.8,36.5,37.2,37.9,38.6,39.45,39.9,40.7,41.3,42.3,42.8,43.5,44.2,44.8,45.5,46.0,46.5,46.9,47.2,47.4,,
37,Niger,38,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,0.8,0.9,0.9,0.9,0.9,0.9,1.0,1.1,1.1,1.2,1.2,1.4,1.5,1.7,2.0,2.2,2.6,2.9,3.3,3.7,4.3,4.9,5.7,,
38,Nigeria,39,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,0.9,0.9,0.9,0.9,1.0,1.0,1.1,1.2,1.4,1.5,1.8,2.1,2.5,3.2,4.1,5.5,7.3,9.8,12.9,16.35,19.8,23.0,25.6,,
39,Rwanda,40,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.7,0.9,1.2,1.7,2.4,3.3,4.6,6.2,8.3,,
40,Sao Tome and Principe,41,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.9,1.0,1.1,1.3,1.5,1.7,1.9,2.1,2.4,2.6,2.8,3.1,3.4,3.7,4.1,,
41,Senegal,42,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,34.9,36.0,37.0,38.0,38.4,38.5,38.2,37.7,36.5,35.2,33.6,31.9,30.7,29.0,28.2,27.5,27.3,27.7,28.2,28.85,30.0,31.3,32.3,,
42,Seychelles,43,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,
43,Sierra Leone,44,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,0.0,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.8,1.0,,
44,Somalia,45,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,0.4,0.4,0.4,0.5,0.5,0.55,0.6,0.7,0.8,0.9,1.1,1.2,1.4,1.6,1.7,2.0,2.4,2.7,3.0,3.3,3.9,4.2,4.8,,
45,South Africa,46,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,56.0,58.0,60.0,62.3,64.5,66.7,69.0,71.2,73.3,75.3,77.1,78.7,80.0,81.4,82.8,83.8,84.9,85.8,86.6,87.4,88.1,88.7,89.4,,
46,South Sudan,47,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,0.4,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
47,Sudan,48,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,7.0,8.6,10.7,12.6,15.0,17.7,20.5,23.6,26.0,29.5,32.8,35.8,39.0,41.9,45.1,48.0,51.1,54.1,56.25,58.9,61.0,62.8,65.6,,
48,Tanzania,49,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1.0,1.1,1.2,1.4,1.6,1.9,2.2,2.7,3.2,3.9,4.5,5.3,6.2,7.2,8.1,9.2,,
49,Togo,50,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,0.3,0.4,0.5,0.7,0.9,1.1,1.5,1.8,2.3,2.8,3.3,3.9,4.5,5.3,6.0,6.7,7.6,8.1,9.0,9.6,10.4,11.0,11.9,,
50,Tunisia,51,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,90.5,92.5,94.2,95.6,96.6,97.4,98.1,98.5,98.9,99.2,99.4,99.5,99.6,99.7,99.8,99.8,99.8,99.8,99.8,99.8,99.9,99.9,99.9,,
51,Uganda,52,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.7,0.7,0.6,,
52,Zambia,53,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,13.8,14.3,14.6,15.0,15.3,15.8,16.0,16.1,16.1,16.1,16.0,15.8,15.5,15.0,14.6,13.9,13.4,12.6,11.9,11.1,10.4,9.6,9.0,,
53,Zimbabwe,54,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,33.9,33.8,33.6,33.0,32.4,31.9,31.6,31.2,30.7,30.5,30.4,30.2,30.2,30.0,30.0,30.0,30.0,30.1,30.3,30.3,30.5,30.5,30.8,,
54,Algeria,1,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,4.25,4.14,4.19,4.15,4.03,3.96,4.17,4.29,4.24,4.56,4.49,4.54,4.81,4.84,5.09,5.14,4.94,5.01,5.27,5.4,5.4,5.61,,,
55,Angola,2,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,3.77,3.74,3.41,3.56,3.23,2.64,2.65,2.55,2.51,2.77,2.65,2.65,2.78,2.65,2.29,2.72,2.59,2.65,2.47,2.66,2.8,3.1,,,
56,Benin,3,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,4.88,4.93,5.05,5.15,5.15,5.08,5.76,5.91,5.76,5.91,6.0,5.82,5.61,5.71,5.54,5.79,6.22,6.11,6.05,5.69,5.79,4.79,,,
57,Botswana,4,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,3.84,3.79,3.59,3.39,3.44,3.39,3.26,3.18,3.24,3.44,3.4,3.04,3.47,3.29,3.39,3.55,3.17,3.18,3.25,2.92,2.89,2.68,,,
58,Burkina Faso,5,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,5.37,5.18,5.11,4.94,4.78,5.51,5.48,5.71,5.74,5.64,5.31,5.3,5.42,5.5,5.55,5.8,5.5,5.61,5.71,5.57,5.53,5.43,5.4,,
59,Burundi,6,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,10.75,10.95,10.7,10.32,10.01,9.49,9.06,8.8,8.43,8.13,7.98,7.89,7.48,7.55,7.07,7.34,7.52,7.58,7.69,7.6,7.74,7.48,7.4,,
60,Cameroon,7,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,5.82,5.7,5.71,5.67,5.49,5.47,4.88,4.41,4.33,4.56,4.47,4.53,4.53,4.51,4.63,4.61,4.52,4.41,4.35,4.27,4.36,4.23,,,
61,Cape Verde,8,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,2.99,3.17,3.23,3.16,3.11,3.04,3.02,2.68,2.35,2.6,2.69,2.85,2.42,2.4,2.35,2.36,2.4,2.41,2.34,2.38,2.49,2.45,2.17,,
